feature,mi_score,mi_rank,f_score,p_value,anova_rank,is_significant,variance,zero_ratio,is_constant,is_near_zero,is_high_zero,mi_rank_norm,anova_rank_norm,combined_score,final_rank,is_redundant,recommend_drop,recommend_keep
RST Flag Count,0.0018546516994439877,62,27723.92012512474,0.0,29,True,0.0002532692399786354,0.9997466666666667,False,False,True,0.20779220779220775,0.6363636363636364,0.37922077922077924,56,False,True,False
Fwd PSH Flags,0.0014081553260640867,63,27723.92012512474,0.0,28,True,0.0002532692399786354,0.9997466666666667,False,False,True,0.19480519480519476,0.6493506493506493,0.37662337662337664,57,True,True,False
Idle Std,0.023164762181576037,57,10633.134394777318,0.0,43,True,364141403722.7185,0.990327,False,False,True,0.2727272727272727,0.4545454545454546,0.34545454545454546,58,False,True,False
Bwd Packet Length Std,0.0012684297229164088,64,19161.085131871383,0.0,34,True,122.73349590925272,0.9996346666666667,False,False,True,0.18181818181818177,0.5714285714285714,0.3376623376623376,59,True,True,False
Active Max,0.025175347709672113,54,1336.040528401694,0.0,53,True,14767790063.711042,0.9891846666666667,False,False,False,0.3116883116883117,0.3246753246753247,0.3168831168831169,60,False,False,True
Bwd IAT Std,0.012094907999372406,59,5089.169635318206,0.0,48,True,1045279392514.3888,0.9950143333333333,False,False,True,0.24675324675324672,0.38961038961038963,0.3038961038961039,61,True,True,False
Active Mean,0.024502567661965458,56,799.1793113311713,0.0,54,True,4399318367.816641,0.9891846666666667,False,False,False,0.2857142857142857,0.3116883116883117,0.2961038961038961,62,False,False,True
Active Std,0.01894288823889223,58,1356.2036354349254,0.0,52,True,3122377523.939522,0.99206,False,False,True,0.2597402597402597,0.33766233766233766,0.2909090909090909,63,False,True,False
Active Min,0.024977960630856,55,437.7249917890307,0.0,59,True,3037307044.6236715,0.9891846666666667,False,False,False,0.2987012987012987,0.24675324675324672,0.2779220779220779,64,False,False,True
SYN Flag Count,0.0003382187268003989,68,108.90599399281065,0.0,63,True,2.8999168666389555e-05,0.999971,False,False,True,0.1298701298701299,0.19480519480519476,0.15584415584415584,65,False,True,False
Fwd URG Flags,0.00046277798904936773,66,,,67,False,0.0,1.0,True,False,True,0.1558441558441559,0.1428571428571429,0.1506493506493507,66,False,True,False
Fwd Avg Packets/Bulk,0.0008712197596993931,65,,,73,False,0.0,1.0,True,False,True,0.16883116883116878,0.06493506493506496,0.12727272727272726,67,False,True,False
ECE Flag Count,0.0003201459928892092,69,,,71,False,0.0,1.0,True,False,True,0.11688311688311692,0.09090909090909094,0.10649350649350653,68,False,True,False
Bwd PSH Flags,9.185649529674933e-05,73,,,66,False,0.0,1.0,True,False,True,0.06493506493506496,0.1558441558441559,0.10129870129870133,69,False,True,False
Fwd Avg Bytes/Bulk,0.00031962096513193927,70,,,72,False,0.0,1.0,True,False,True,0.10389610389610393,0.07792207792207795,0.09350649350649354,70,False,True,False
Bwd Avg Bulk Rate,0.00038674736059363113,67,,,77,False,0.0,1.0,True,False,True,0.1428571428571429,0.012987012987012991,0.09090909090909094,71,False,True,False
PSH Flag Count,0.0001111192444707143,72,,,70,False,0.0,1.0,True,False,True,0.07792207792207795,0.10389610389610393,0.08831168831168834,72,False,True,False
Bwd URG Flags,0.0,75,,,68,False,0.0,1.0,True,False,True,0.038961038961038974,0.1298701298701299,0.07532467532467535,73,False,True,False
Bwd Avg Packets/Bulk,0.00023629230750144004,71,,,76,False,0.0,1.0,True,False,True,0.09090909090909094,0.025974025974025983,0.06493506493506496,74,False,True,False
FIN Flag Count,0.0,76,,,69,False,0.0,1.0,True,False,True,0.025974025974025983,0.11688311688311692,0.06233766233766236,75,False,True,False
Fwd Avg Bulk Rate,5.624757332878261e-05,74,,,74,False,0.0,1.0,True,False,True,0.051948051948051965,0.051948051948051965,0.051948051948051965,76,False,True,False
Bwd Avg Bytes/Bulk,0.0,77,,,75,False,0.0,1.0,True,False,True,0.012987012987012991,0.038961038961038974,0.023376623376623384,77,False,True,False
